0	157	{}
0	479	{}
0	939	{}
0	634	{}
0	699	{}
1	565	{}
1	942	{}
1	665	{}
2	636	{}
2	513	{}
2	731	{}
2	9	{}
3	904	{}
3	796	{}
3	300	{}
4	181	{}
4	777	{}
4	371	{}
4	37	{}
4	820	{}
4	59	{}
4	796	{}
4	83	{}
4	563	{}
4	493	{}
4	149	{}
4	874	{}
4	650	{}
4	260	{}
4	854	{}
4	22	{}
4	744	{}
4	254	{}
4	669	{}
4	130	{}
4	846	{}
4	797	{}
4	301	{}
4	532	{}
4	77	{}
4	713	{}
4	73	{}
4	172	{}
4	555	{}
4	597	{}
4	901	{}
4	691	{}
4	954	{}
4	107	{}
5	656	{}
5	857	{}
5	851	{}
6	360	{}
6	762	{}
6	561	{}
7	714	{}
7	328	{}
7	282	{}
8	989	{}
8	824	{}
8	963	{}
9	116	{}
9	143	{}
9	308	{}
9	485	{}
9	230	{}
9	500	{}
9	60	{}
9	635	{}
10	973	{}
10	275	{}
10	922	{}
10	393	{}
10	456	{}
11	849	{}
11	396	{}
12	658	{}
12	981	{}
12	331	{}
12	502	{}
13	86	{}
13	956	{}
14	843	{}
14	879	{}
14	325	{}
14	821	{}
15	207	{}
15	395	{}
15	550	{}
15	236	{}
15	275	{}
15	695	{}
16	161	{}
16	630	{}
16	247	{}
17	418	{}
17	183	{}
17	463	{}
17	585	{}
17	946	{}
17	456	{}
18	831	{}
18	764	{}
18	450	{}
18	132	{}
18	56	{}
18	911	{}
19	462	{}
19	997	{}
19	848	{}
19	645	{}
19	77	{}
19	372	{}
19	365	{}
19	971	{}
19	591	{}
20	924	{}
20	955	{}
20	326	{}
20	442	{}
20	194	{}
21	863	{}
21	807	{}
21	576	{}
21	80	{}
21	946	{}
22	162	{}
22	533	{}
22	458	{}
22	849	{}
23	236	{}
23	632	{}
23	958	{}
24	457	{}
24	825	{}
24	822	{}
24	377	{}
24	92	{}
24	388	{}
24	621	{}
25	28	{}
25	228	{}
26	975	{}
26	764	{}
27	777	{}
27	626	{}
27	695	{}
28	647	{}
28	975	{}
29	896	{}
29	429	{}
29	764	{}
29	450	{}
29	453	{}
30	952	{}
30	646	{}
30	665	{}
30	673	{}
31	439	{}
31	564	{}
31	55	{}
32	741	{}
32	854	{}
33	612	{}
33	979	{}
33	937	{}
34	541	{}
34	954	{}
34	567	{}
34	41	{}
34	821	{}
34	464	{}
34	463	{}
35	73	{}
35	615	{}
36	130	{}
36	774	{}
36	716	{}
36	620	{}
37	250	{}
38	453	{}
38	62	{}
38	794	{}
39	945	{}
39	661	{}
40	67	{}
40	174	{}
40	662	{}
40	942	{}
41	78	{}
41	590	{}
41	994	{}
41	494	{}
42	822	{}
42	909	{}
43	275	{}
43	379	{}
43	344	{}
43	442	{}
44	542	{}
44	545	{}
44	99	{}
44	386	{}
44	315	{}
44	522	{}
44	741	{}
44	645	{}
44	832	{}
44	923	{}
44	307	{}
44	207	{}
44	717	{}
44	600	{}
44	393	{}
45	943	{}
45	198	{}
45	310	{}
45	713	{}
46	992	{}
46	482	{}
46	206	{}
46	154	{}
46	191	{}
47	748	{}
47	979	{}
47	831	{}
47	318	{}
47	693	{}
48	705	{}
48	476	{}
49	659	{}
49	564	{}
49	637	{}
49	752	{}
50	449	{}
50	494	{}
50	912	{}
51	73	{}
51	653	{}
52	72	{}
52	178	{}
52	526	{}
53	73	{}
53	470	{}
53	733	{}
54	661	{}
54	384	{}
55	431	{}
55	168	{}
56	653	{}
56	906	{}
57	201	{}
57	524	{}
58	545	{}
58	268	{}
58	153	{}
59	362	{}
59	877	{}
60	183	{}
60	971	{}
60	73	{}
60	978	{}
